City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Richards Bay,ZA,77.25,light rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
21,East London,ZA,64.4,light rain,-33.02,27.91,Tu Casa
23,Puerto Ayora,EC,78.01,light rain,-0.74,-90.35,Finch Bay Galapagos Hotel
24,Kirakira,SB,81.25,light rain,-10.45,161.92,SanBiz Lodge
25,Saint-Philippe,RE,82.4,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
35,Port Alfred,ZA,69.01,light rain,-33.59,26.89,The Halyards Hotel
54,Sao Francisco,BR,70.5,light rain,-15.95,-44.86,Pousada Peixe Vivo
61,Avarua,CK,82.4,moderate rain,-21.21,-159.78,Paradise Inn
64,Kokstad,ZA,53.44,light rain,-30.55,29.42,Majestic Bed and Breakfast
68,Gizo,SB,82.6,light rain,-8.1,156.84,Imagination Island
92,Butaritari,KI,84.72,light rain,3.07,172.79,Isles Sunset Lodge
103,Edeia,BR,69.89,light rain,-17.34,-49.93,Hotel Imperial Edeia
109,Cidreira,BR,66.49,light rain,-30.18,-50.21,Novomar Pousada e Turismo Ltda
111,Wanning,CN,74.34,light rain,18.8,110.4,Paradise Hotel
144,Kalmunai,LK,82.02,light rain,7.42,81.82,VS Villa
149,Carutapera,BR,81.5,light rain,-1.2,-46.02,Lidera
194,Byron Bay,AU,75.2,light rain,-28.65,153.62,Backpackers Inn on the Beach
196,Jalu,LY,51.62,light rain,29.03,21.55,Jalu Hotel
218,Arraial Do Cabo,BR,74.25,light rain,-22.97,-42.03,Pousada Porto Praia
231,Kendari,ID,85.95,moderate rain,-3.94,122.5,Hotel Wixel
248,Alta Floresta,BR,71.01,light rain,-9.88,-56.09,Floresta Amazonica Hotel
257,Martapura,ID,83.86,moderate rain,-3.42,114.85,Montana Hotel Syariah
270,Indramayu,ID,86.65,light rain,-6.33,108.32,Grand Trisula Hotel
284,Airai,TL,77.92,light rain,-8.93,125.41,Juvinal Martin
298,Popondetta,PG,82.15,light rain,-8.75,148.25,Timos Transit House
305,Cururupu,BR,72.91,moderate rain,-1.83,-44.87,Pousada Través'cia
307,Ingraj Bazar,IN,84.47,light rain,25.0,88.15,Hotel Samrat Malda
308,Gorontalo,ID,87.78,light rain,0.54,123.06,Maqna Hotel by Prasanthi
321,Samarai,PG,85.24,light rain,-10.62,150.67,Nuli Sapi
326,San Cristobal,VE,56.17,light rain,7.77,-72.22,Pirineos
330,Ndola,ZM,69.91,light rain,-12.96,28.64,Chabanga Lodge iSpot
333,Netivot,IL,55.99,light rain,31.42,34.59,Catering Gato - kosher catering Dairy
345,San Policarpo,PH,81.45,light rain,12.18,125.51,Zal-Ann Beach Resort
358,Dingle,PH,82.89,light rain,11.0,122.67,Camp Pasica
359,Kieta,PG,85.44,light rain,-6.22,155.63,
368,Nuevo Progreso,MX,63.0,light rain,23.17,-97.95,
380,Tuban,ID,85.39,light rain,-6.9,112.06,Hotel Mustika
381,Maragogi,BR,81.34,light rain,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
396,Monte Santo,BR,71.78,light rain,-10.44,-39.33,Pousada Pingo D'Água
400,Meulaboh,ID,83.55,light rain,4.14,96.13,Kost Pria
416,Baracoa,CU,74.41,moderate rain,20.35,-74.5,Hostal Rio Miel
418,Namanyere,TZ,68.76,light rain,-7.52,31.05,Manyovu Lodge
419,Matadi,CD,76.48,moderate rain,-5.82,13.45,Hotel Fortune
422,Tshikapa,CD,73.69,light rain,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
425,Alofi,NU,79.93,light rain,-19.06,-169.92,Taloa Heights
498,Palu,ID,77.86,moderate rain,-0.89,119.87,Hotel Santika Palu
513,Sao Jose Da Coroa Grande,BR,81.34,light rain,-8.9,-35.15,Crôa Mares Hotel
514,Kanigoro,ID,85.87,light rain,-8.13,112.22,KAMPOENG SOEKARELAWAN PMI JATIM
520,Sao Joao Da Barra,BR,73.44,light rain,-21.64,-41.05,Pousada Porto De Canoas
526,Anshun,CN,58.28,light rain,26.25,105.93,安顺麦吉风格酒店
543,Inhapim,BR,68.23,moderate rain,-19.55,-42.12,hotel Carreiro em Inhapim/MG
546,Mantenopolis,BR,71.08,light rain,-18.86,-41.12,Deed's Hotel
549,Pemangkat,ID,83.03,light rain,1.17,108.97,Kost H.Syamsuddin
