City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2020-02-23 05:04:12,-53.15,-70.92,51.8,62,40,21.92
1,Portland,US,2020-02-23 05:04:02,45.52,-122.68,46.4,75,75,4.7
2,Busselton,AU,2020-02-23 05:04:18,-33.65,115.33,87.01,29,99,8.97
3,Barrow,US,2020-02-23 05:04:05,71.29,-156.79,-20.2,75,1,8.05
4,Cape Town,ZA,2020-02-23 05:04:16,-33.93,18.42,64.0,67,0,9.17
5,Leningradskiy,RU,2020-02-23 05:05:07,69.38,178.42,-13.36,95,100,7.31
6,Saint George,US,2020-02-23 05:03:46,37.1,-113.58,45.0,87,90,8.05
7,Kodiak,US,2020-02-23 05:04:15,57.79,-152.41,19.4,62,90,10.29
8,Mataura,NZ,2020-02-23 05:04:16,-46.19,168.86,61.0,73,57,20.0
9,Pozo Colorado,PY,2020-02-23 05:05:08,-23.49,-58.8,60.66,51,0,5.66
10,Herat,AF,2020-02-23 05:04:41,34.5,62.0,51.8,57,40,2.24
11,Suzun,RU,2020-02-23 05:05:09,53.78,82.31,25.59,90,96,5.64
12,New Norfolk,AU,2020-02-23 05:04:20,-42.78,147.06,78.01,46,8,17.22
13,Rikitea,PF,2020-02-23 05:04:15,-23.12,-134.97,79.83,64,6,2.84
14,Laramie,US,2020-02-23 05:02:23,41.31,-105.59,42.8,54,1,2.48
15,Nikolskoye,RU,2020-02-23 05:04:50,59.7,30.79,39.2,80,75,11.18
16,Los Llanos De Aridane,ES,2020-02-23 05:05:10,28.66,-17.92,73.4,43,86,13.87
17,Kapaa,US,2020-02-23 05:02:24,22.08,-159.32,75.2,73,40,5.82
18,Hasaki,JP,2020-02-23 05:04:36,35.73,140.83,57.2,24,20,18.34
19,Cabo San Lucas,MX,2020-02-23 05:02:21,22.89,-109.91,71.01,52,40,10.85
20,Lysva,RU,2020-02-23 05:05:11,58.11,57.81,27.52,86,96,11.52
21,Kinablangan,PH,2020-02-23 05:05:11,7.69,126.55,80.53,58,14,8.95
22,Georgetown,MY,2020-02-23 05:03:00,5.41,100.34,89.6,55,20,10.29
23,Ludvika,SE,2020-02-23 05:05:11,60.15,15.19,37.0,74,81,10.29
24,Avarua,CK,2020-02-23 05:04:13,-21.21,-159.78,82.4,83,99,3.36
25,Matara,LK,2020-02-23 05:02:57,5.95,80.54,91.99,49,95,11.01
26,Tuktoyaktuk,CA,2020-02-23 05:04:14,69.45,-133.04,1.4,84,90,4.7
27,Nekhayevskiy,RU,2020-02-23 05:05:12,50.41,41.76,30.99,89,85,1.99
28,Raudeberg,NO,2020-02-23 05:04:54,61.99,5.14,41.0,65,97,14.99
29,Vaini,TO,2020-02-23 05:04:22,-21.2,-175.2,82.4,83,75,14.99
30,Clyde River,CA,2020-02-23 05:04:27,70.47,-68.59,-31.0,66,1,3.36
31,Thompson,CA,2020-02-23 05:05:13,55.74,-97.86,17.6,67,75,4.7
32,Flinders,AU,2020-02-23 05:05:13,-34.58,150.86,78.01,60,100,16.11
33,Sur,OM,2020-02-23 05:05:13,22.57,59.53,75.81,51,1,4.47
34,Zhengjiatun,CN,2020-02-23 05:05:13,43.51,123.51,41.81,25,100,18.63
35,Abadan,IR,2020-02-23 05:05:14,30.34,48.3,59.0,100,0,2.24
36,Upernavik,GL,2020-02-23 05:05:14,72.79,-56.15,-12.86,94,69,2.82
37,Bluff,NZ,2020-02-23 05:04:40,-46.6,168.33,61.0,73,40,20.0
38,Hilo,US,2020-02-23 05:04:26,19.73,-155.09,75.2,60,1,10.29
39,Victoria,HK,2020-02-23 05:03:07,22.29,114.16,81.0,46,27,9.17
40,Airai,TL,2020-02-23 05:05:15,-8.93,125.41,77.92,78,22,2.37
41,Carnarvon,AU,2020-02-23 05:05:15,-24.87,113.63,84.2,54,0,12.75
42,Ushuaia,AR,2020-02-23 05:00:45,-54.8,-68.3,48.2,70,20,33.33
43,Broken Hill,AU,2020-02-23 05:05:15,-31.95,141.43,86.0,30,40,9.17
44,Broome,US,2020-02-23 05:04:07,42.25,-75.83,28.99,92,1,4.83
45,Ilulissat,GL,2020-02-23 05:05:16,69.22,-51.1,-0.4,49,91,16.11
46,Prince Rupert,CA,2020-02-23 05:05:16,54.32,-130.32,37.4,74,75,6.6
47,Cayenne,GF,2020-02-23 05:04:11,4.93,-52.33,80.6,83,90,6.93
48,Albany,US,2020-02-23 04:59:22,42.6,-73.97,30.2,73,1,4.7
49,Suihua,CN,2020-02-23 05:05:17,46.64,127.0,23.7,88,98,11.52
50,Bredasdorp,ZA,2020-02-23 05:04:19,-34.53,20.04,62.01,82,10,4.7
